,time,open,high,low,close,tick_volume,spread,real_volume,ema_7,ema_21,ema_89,ema_200,time_sin,time_cos,price_diff,trendline_7,trendline_21,trendline_89,trendline_200,trend_7,trend_21,trend_89,trend_200,close_minus_trendline_7,close_minus_trendline_21,close_minus_trendline_89,close_minus_trendline_200,close_minus_ema7,close_minus_ema21,close_minus_ema89,close_minus_ema200
36,2011-03-04,1414.85,1431.82,1414.59,1430.64,85960,50,0,1419.4871863398262,1396.5599484955067,1375.5527231658882,1373.4214157653885,0.0,1.0,14.940000000000055,1432.3032142857141,1433.2345021645024,0.0,0.0,1,1,-1,-1,-1.663214285714048,-2.5945021645022734,0.0,0.0,11.152813660173933,34.08005150449344,55.08727683411189,57.218584234611626
37,2011-03-07,1434.65,1444.48,1428.03,1431.71,94758,50,0,1422.5428897548697,1399.755407723188,1376.8006626510908,1374.0014016781709,0.0,1.0,1.0699999999999363,1433.0335714285711,1436.8029870129872,0.0,0.0,1,1,-1,-1,-1.3235714285710856,-5.092987012987123,0.0,0.0,9.167110245130289,31.954592276812036,54.909337348909276,57.708598321829186
38,2011-03-08,1430.9,1436.55,1423.16,1428.67,91083,50,0,1424.0746673161523,1402.38400702108,1377.9533145921775,1374.545367830627,0.0,1.0,-3.0399999999999636,1431.4139285714282,1438.9674891774894,0.0,0.0,-1,1,-1,-1,-2.743928571428114,-10.297489177489297,0.0,0.0,4.595332683847801,26.28599297892015,50.716685407822524,54.12463216937317
39,2011-03-09,1428.14,1436.01,1422.92,1430.64,80707,50,0,1425.7160004871143,1404.952733655527,1379.1241298234625,1375.1035233746009,0.0,1.0,1.9700000000000273,1429.0017857142852,1441.6735497835493,0.0,0.0,-1,1,-1,-1,1.6382142857148665,-11.033549783549233,0.0,0.0,4.923999512885757,25.687266344473073,51.515870176537646,55.536476625399246
40,2011-03-10,1429.1,1431.34,1402.87,1411.45,89163,50,0,1422.1495003653356,1405.5433942322973,1379.842482494052,1375.4651798584357,0.0,1.0,-19.190000000000055,1421.84,1440.081904761904,0.0,0.0,-1,-1,-1,-1,-10.389999999999873,-28.631904761904025,0.0,0.0,-10.699500365335552,5.906605767702786,31.607517505947953,35.98482014156434
41,2011-03-11,1412.49,1423.9,1404.65,1417.2,92354,50,0,1420.9121252740017,1406.6030856657246,1380.6726495497398,1375.8804517006404,0.0,1.0,5.75,1419.9710714285711,1438.8980086580088,0.0,0.0,-1,-1,-1,-1,-2.7710714285710765,-21.698008658008803,0.0,0.0,-3.7121252740016644,10.596914334275425,36.5273504502602,41.31954829935967
42,2011-03-14,1425.68,1430.23,1418.6,1423.88,89425,50,0,1421.6540939555014,1408.173714241568,1381.632812893079,1376.3580591464051,0.0,1.0,6.680000000000064,1417.7571428571423,1437.5529870129867,0.0,0.0,-1,-1,-1,-1,6.122857142857811,-13.672987012986596,0.0,0.0,2.2259060444987426,15.70628575843216,42.24718710692105,47.52194085359497
43,2011-03-15,1425.73,1425.93,1380.88,1399.83,112299,50,0,1416.198070466626,1407.4151947650616,1382.0371948287884,1376.5916107966898,0.0,1.0,-24.050000000000182,1407.7692857142856,1431.5278787878792,0.0,0.0,-1,-1,-1,-1,-7.939285714285688,-31.69787878787929,0.0,0.0,-16.368070466626023,-7.585194765061715,17.792805171211512,23.238389203310135
44,2011-03-16,1393.2,1405.75,1392.2,1399.39,100625,50,0,1411.9960528499696,1406.6856316046014,1382.422812721482,1376.818460440504,0.0,1.0,-0.4399999999998272,1401.1839285714282,1426.0666233766233,0.0,0.0,-1,-1,-1,-1,-1.7939285714280686,-26.676623376623184,0.0,0.0,-12.606052849969501,-7.29563160460134,16.967187278518168,22.57153955949616
45,2011-03-17,1387.71,1404.87,1387.67,1402.1,99243,50,0,1409.522039637477,1406.2687560041832,1382.8600835498933,1377.0700180480612,0.0,1.0,2.709999999999809,1398.4510714285711,1420.8113852813851,0.0,0.0,-1,-1,-1,-1,3.648928571428769,-18.71138528138522,0.0,0.0,-7.422039637477155,-4.168756004183251,19.239916450106648,25.02998195193868
